,cell num,volume cc,mass g,raw_result,raw_energy_MeV,normalised enegy-rate MeV/s
0,13,7.24547,3.19525227,0.000278423,0.000122784543,122784543000.0
1,14,7.27094,3.2064845400000004,0.000182564,8.0510724e-05,80510724000.0
2,13000,9.07212,4.00080492,0.000181141,7.9883181e-05,79883181000.0
3,14000,9.16332,4.04102412,0.00010889,4.802049e-05,48020490000.0
4,13001,9.07212,4.00080492,0.000111498,4.9170617999999996e-05,49170617999.99999
5,14001,9.16332,4.04102412,9.5815e-05,4.2254415e-05,42254415000.0
6,13002,7.24547,3.19525227,0.000121556,5.3606196e-05,53606196000.0
7,14002,7.27094,3.2064845400000004,7.0674e-05,3.1167233999999995e-05,31167233999.999996
8,13003,9.17295,4.04527095,0.000256297,0.000113026977,113026977000.0
9,14003,9.09185,4.00950585,0.000267964,0.000118172124,118172124000.0
10,13004,11.1469,4.9157829,0.000173632,7.657171200000001e-05,76571712000.00002
11,14004,10.9248,4.817836799999999,0.000147139,6.488829899999999e-05,64888298999.99999
12,13005,11.1469,4.9157829,5.67364e-05,2.50207524e-05,25020752400.0
13,14005,10.9248,4.817836799999999,0.000118078,5.2072398e-05,52072398000.0
14,13006,9.17295,4.04527095,6.85359e-05,3.02243319e-05,30224331900.0
15,14006,9.09185,4.00950585,6.44472e-05,2.8421215200000003e-05,28421215200.000004
16,13007,10.0623,4.4374743,0.000215163,9.488688300000001e-05,94886883000.00002
17,14007,10.3916,4.5826956,0.000330571,0.000145781811,145781811000.0
18,13008,11.8969,5.2465329,0.000102908,4.5382428e-05,45382428000.0
19,14008,12.4309,5.4820269,0.000142608,6.289012799999999e-05,62890127999.99999
20,13009,11.8969,5.2465329,8.48262e-05,3.74083542e-05,37408354200.0
21,14009,12.4309,5.4820269,0.000116586,5.1414426e-05,51414426000.0
22,13010,10.0623,4.4374743,3.16196e-05,1.39442436e-05,13944243600.0
23,14010,10.3916,4.5826956,0.00011598,5.114718e-05,51147180000.0
24,13011,11.8101,5.2082541,0.000205917,9.080939699999999e-05,90809396999.99998
25,14011,12.0444,5.3115803999999995,0.000227194,0.000100192554,100192554000.0
26,13012,13.985,6.1673849999999995,0.000140988,6.217570800000001e-05,62175708000.00001
27,14012,14.2927,6.3030807,0.000137645,6.0701445e-05,60701445000.0
28,13013,13.985,6.1673849999999995,0.000134375,5.9259375e-05,59259375000.0
29,14013,14.2927,6.3030807,7.65349e-05,3.37518909e-05,33751890900.0
30,13014,11.8101,5.2082541,0.00010713,4.724433e-05,47244330000.0
31,14014,12.0444,5.3115803999999995,6.05703e-05,2.67115023e-05,26711502300.0
32,13015,9.39415,4.14282015,0.000111223,4.9049343e-05,49049343000.0
33,14015,8.81865,3.88902465,0.000141882,6.2569962e-05,62569961999.99999
34,13016,11.4079,5.0308839,9.69586e-05,4.27587426e-05,42758742600.0
35,14016,10.881,4.798521,0.000131317,5.791079699999999e-05,57910796999.99999
36,13017,11.4079,5.0308839,5.07445e-05,2.2378324500000003e-05,22378324500.000004
37,14017,10.881,4.798521,4.50267e-05,1.98567747e-05,19856774700.0
38,13018,9.39415,4.14282015,5.1223e-05,2.2589343e-05,22589343000.0
39,14018,8.81865,3.88902465,4.55274e-05,2.00775834e-05,20077583400.0
40,13019,5.89094,2.59790454,0.000135152,5.9602032000000004e-05,59602032000.00001
41,14019,5.95142,2.62457622,9.33947e-05,4.11870627e-05,41187062700.0
42,13020,7.38288,3.25585008,0.000104868,4.6246788e-05,46246788000.0
43,14020,7.54494,3.3273185400000003,7.56669e-05,3.33691029e-05,33369102900.000004
44,13021,7.38288,3.25585008,5.97295e-05,2.63407095e-05,26340709500.0
45,14021,7.54494,3.3273185400000003,5.54431e-05,2.44504071e-05,24450407100.0
46,13022,5.89094,2.59790454,1.15726e-05,5.1035166000000004e-06,5103516600.0
47,14022,5.95142,2.62457622,6.73769e-05,2.97132129e-05,29713212900.0
