,cell num,dwell time s
0,13,4.3
1,14,4.3
2,13000,4.2
3,14000,4.2
4,13001,4.8
5,14001,4.8
6,13002,6.8
7,14002,6.8
8,13003,4.7
9,14003,4.7
10,13004,5.8
11,14004,5.8
12,13005,5.6
13,14005,5.6
14,13006,5.9
15,14006,5.9
16,13007,2.1
17,14007,2.1
18,13008,1.7
19,14008,1.7
20,13009,1.2
21,14009,1.2
22,13010,2.1
23,14010,2.1
24,13011,2.1
25,14011,2.1
26,13012,1.7
27,14012,1.7
28,13013,1.2
29,14013,1.2
30,13014,2.1
31,14014,2.1
32,13015,4.7
33,14015,4.7
34,13016,5.8
35,14016,5.8
36,13017,5.6
37,14017,5.6
38,13018,5.9
39,14018,5.9
40,13019,4.3
41,14019,4.3
42,13020,4.2
43,14020,4.2
44,13021,4.8
45,14021,4.8
46,13022,6.8
47,14022,6.8
